Associated Gene Name	Description	Gene Biotype
CYP2E1	cytochrome P450, family 2, subfamily E, polypeptide 1	protein_coding
PCCB	propionyl CoA carboxylase, beta polypeptide	protein_coding
SNX13	sorting nexin 13	protein_coding
ITGB8	integrin, beta 8	protein_coding
STX16	syntaxin 16	protein_coding
WBP11	WW domain binding protein 11	protein_coding
DUSP26	dual specificity phosphatase 26 (putative)	protein_coding
NKAPP1	NFKB activating protein pseudogene 1	lincRNA
FTSJD2	FtsJ methyltransferase domain containing 2	protein_coding
RP4-640H8.2		lincRNA
AKIP1	A kinase (PRKA) interacting protein 1	protein_coding
ANKRD62P1	ankyrin repeat domain 62 pseudogene 1	lincRNA
PDGFC	platelet derived growth factor C	protein_coding
ERP44	endoplasmic reticulum protein 44	protein_coding
MRPL32	mitochondrial ribosomal protein L32	protein_coding
MALL	mal, T-cell differentiation protein-like	protein_coding
HSFY1P1	heat shock transcription factor, Y-linked 1 pseudogene 1	pseudogene
HACL1	2-hydroxyacyl-CoA lyase 1	protein_coding
ACADS	acyl-CoA dehydrogenase, C-2 to C-3 short chain	protein_coding
UNC5D	unc-5 homolog D (C. elegans)	protein_coding
HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	protein_coding
GS1-179L18.1		lincRNA
HBG1	hemoglobin, gamma A	protein_coding
SET	SET nuclear oncogene	protein_coding
CYFIP1	cytoplasmic FMR1 interacting protein 1	protein_coding
NPHP1	nephronophthisis 1 (juvenile)	protein_coding
GDF3	growth differentiation factor 3	protein_coding
SNORA71B		non_coding
SNORA71A		processed_transcript
SNHG11	small nucleolar RNA host gene 11 (non-protein coding)	lincRNA
SNHG11	small nucleolar RNA host gene 11 (non-protein coding)	lincRNA
FNIP1	folliculin interacting protein 1	protein_coding
DPPA3	developmental pluripotency associated 3	protein_coding
CLEC4C	C-type lectin domain family 4, member C	protein_coding
FKBP14	FK506 binding protein 14, 22 kDa	protein_coding
ACYP1	acylphosphatase 1, erythrocyte (common) type	protein_coding
LIN7C	lin-7 homolog C (C. elegans)	protein_coding
GPRC5A	G protein-coupled receptor, family C, group 5, member A	protein_coding
KCNU1	potassium channel, subfamily U, member 1	protein_coding
ABCD2	ATP-binding cassette, sub-family D (ALD), member 2	protein_coding
HBG2	hemoglobin, gamma G	protein_coding
VHL	von Hippel-Lindau tumor suppressor, E3 ubiquitin protein ligase	protein_coding
OSBPL10	oxysterol binding protein-like 10	protein_coding
INVS	inversin	protein_coding
PPAP2A	phosphatidic acid phosphatase type 2A	protein_coding
CECR7	cat eye syndrome chromosome region, candidate 7 (non-protein coding)	lincRNA
RASSF8	Ras association (RalGDS/AF-6) domain family (N-terminal) member 8	protein_coding
VEGFC	vascular endothelial growth factor C	protein_coding
LRRC8A	leucine rich repeat containing 8 family, member A	protein_coding
CALHM1	calcium homeostasis modulator 1	protein_coding
LPL	lipoprotein lipase	protein_coding
SPPL3	signal peptide peptidase like 3	protein_coding
RP4-705O1.1		lincRNA
SRP19	signal recognition particle 19kDa	protein_coding
RP11-572M18.1		lincRNA
PIGY	phosphatidylinositol glycan anchor biosynthesis, class Y	protein_coding
TDRD1	tudor domain containing 1	protein_coding
RP3-527F8.2		processed_transcript
AGAP5	ArfGAP with GTPase domain, ankyrin repeat and PH domain 5	protein_coding
AGAP5	ArfGAP with GTPase domain, ankyrin repeat and PH domain 5	protein_coding
COQ7	coenzyme Q7 homolog, ubiquinone (yeast)	protein_coding
CECR5-AS1	CECR5 antisense RNA 1 (non-protein coding)	antisense
RP11-466G12.4	Phosphatidylinositol N-acetylglucosaminyltransferase subunit Y	protein_coding
MUT	methylmalonyl CoA mutase	protein_coding
CECR3	cat eye syndrome chromosome region, candidate 3 (non-protein coding)	processed_transcript
WDR44	WD repeat domain 44	protein_coding
CALHM3	calcium homeostasis modulator 3	protein_coding
ZNF703	zinc finger protein 703	protein_coding
NUCB2	nucleobindin 2	protein_coding
NEURL	neuralized homolog (Drosophila)	protein_coding
XXbac-B476C20.17		lincRNA
CTD-2292P10.4		antisense
JMJD7-PLA2G4B	JMJD7-PLA2G4B readthrough	protein_coding
JMJD7-PLA2G4B	JMJD7-PLA2G4B readthrough	protein_coding
JMJD7-PLA2G4B	JMJD7-PLA2G4B readthrough	protein_coding
C12orf60	chromosome 12 open reading frame 60	protein_coding
MTCH1	mitochondrial carrier 1	protein_coding
C12orf40	chromosome 12 open reading frame 40	protein_coding
NPEPL1	aminopeptidase-like 1	protein_coding
NANOGNB	NANOG neighbor homeobox	protein_coding
ABCB5	ATP-binding cassette, sub-family B (MDR/TAP), member 5	protein_coding
HBE1	hemoglobin, epsilon 1	protein_coding
NECAP1	NECAP endocytosis associated 1	protein_coding
HERC3	HECT and RLD domain containing E3 ubiquitin protein ligase 3	protein_coding
BCORL1	BCL6 corepressor-like 1	protein_coding
SLC18A1	solute carrier family 18 (vesicular monoamine), member 1	protein_coding
ERLIN2	ER lipid raft associated 2	protein_coding
SLC6A1	solute carrier family 6 (neurotransmitter transporter, GABA), member 1	protein_coding
RMI2	RMI2, RecQ mediated genome instability 2, homolog (S. cerevisiae)	protein_coding
RP11-273G15.2		lincRNA
SEC24C	SEC24 family, member C (S. cerevisiae)	protein_coding
KIFC1	kinesin family member C1	protein_coding
TSPAN14	tetraspanin 14	protein_coding
PHYHD1	phytanoyl-CoA dioxygenase domain containing 1	protein_coding
GPRC5D	G protein-coupled receptor, family C, group 5, member D	protein_coding
SH3PXD2A	SH3 and PX domains 2A	protein_coding
IRAK2	interleukin-1 receptor-associated kinase 2	protein_coding
GNAS	GNAS complex locus	protein_coding
KIAA0319	KIAA0319	protein_coding
RP5-995J12.2		lincRNA
JMJD7	jumonji domain containing 7	protein_coding
FBN2	fibrillin 2	protein_coding
GLRB	glycine receptor, beta	protein_coding
BDNF	brain-derived neurotrophic factor	protein_coding
RP11-445H22.3		antisense
NEK9	NIMA (never in mitosis gene a)- related kinase 9	protein_coding
C12orf69	chromosome 12 open reading frame 69	protein_coding
PLA2G4B	phospholipase A2, group IVB (cytosolic)	protein_coding
ART4	ADP-ribosyltransferase 4 (Dombrock blood group)	protein_coding
ZFYVE1	zinc finger, FYVE domain containing 1	protein_coding
OR51B4	olfactory receptor, family 51, subfamily B, member 4	protein_coding
OR51B2	olfactory receptor, family 51, subfamily B, member 2	protein_coding
REEP5	receptor accessory protein 5	protein_coding
PROSC	proline synthetase co-transcribed homolog (bacterial)	protein_coding
HEBP1	heme binding protein 1	protein_coding
OR51B6	olfactory receptor, family 51, subfamily B, member 6	protein_coding
C8orf51	chromosome 8 open reading frame 51	antisense
MGP	matrix Gla protein	protein_coding
SOCS1	suppressor of cytokine signaling 1	protein_coding
NEIL3	nei endonuclease VIII-like 3 (E. coli)	protein_coding
OR51B5	olfactory receptor, family 51, subfamily B, member 5	protein_coding
GFRA1	GDNF family receptor alpha 1	protein_coding
OR51M1	olfactory receptor, family 51, subfamily M, member 1	protein_coding
ZFP57	zinc finger protein 57 homolog (mouse)	protein_coding
SLC38A9	solute carrier family 38, member 9	protein_coding
TNP2	transition protein 2 (during histone to protamine replacement)	protein_coding
OR51Q1	olfactory receptor, family 51, subfamily Q, member 1	protein_coding
CISD2	CDGSH iron sulfur domain 2	protein_coding
PRM3	protamine 3	protein_coding
OR51I1	olfactory receptor, family 51, subfamily I, member 1	protein_coding
KIAA1467	KIAA1467	protein_coding
CCDC167	coiled-coil domain containing 167	protein_coding
PRM2	protamine 2	protein_coding
SPTBN5	spectrin, beta, non-erythrocytic 5	protein_coding
ELF4	E74-like factor 4 (ets domain transcription factor)	protein_coding
ITPRIPL2	inositol 1,4,5-trisphosphate receptor interacting protein-like 2	protein_coding
PHF1	PHD finger protein 1	protein_coding
TATDN2	TatD DNase domain containing 2	protein_coding
ERP27	endoplasmic reticulum protein 27	protein_coding
SBF1P1	SET binding factor 1 pseudogene 1	pseudogene
RP11-429J17.2		antisense
HRH1	histamine receptor H1	protein_coding
PHF2	PHD finger protein 2	protein_coding
AGA	aspartylglucosaminidase	protein_coding
ERV3-1	endogenous retrovirus group 3, member 1	protein_coding
OR51I2	olfactory receptor, family 51, subfamily I, member 2	protein_coding
OR52D1	olfactory receptor, family 52, subfamily D, member 1	protein_coding
MKRN7P	makorin ring finger protein 7, pseudogene	pseudogene
EHD4	EH-domain containing 4	protein_coding
GRIA2	glutamate receptor, ionotropic, AMPA 2	protein_coding
MDGA1	MAM domain containing glycosylphosphatidylinositol anchor 1	protein_coding
SPATS2	spermatogenesis associated, serine-rich 2	protein_coding
NIPA2	non imprinted in Prader-Willi/Angelman syndrome 2	protein_coding
RP11-16M8.2		lincRNA
GPR124	G protein-coupled receptor 124	protein_coding
HBZ	hemoglobin, zeta	protein_coding
NAP1L5	nucleosome assembly protein 1-like 5	protein_coding
BARX1	BARX homeobox 1	protein_coding
FUT11	fucosyltransferase 11 (alpha (1,3) fucosyltransferase)	protein_coding
SYT17	synaptotagmin XVII	protein_coding
HLA-F	major histocompatibility complex, class I, F	protein_coding
ATP6V1B2	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2	protein_coding
ZNF92	zinc finger protein 92	protein_coding
FAM13A	family with sequence similarity 13, member A	protein_coding
PLA2G4E	phospholipase A2, group IVE	protein_coding
STOX2	storkhead box 2	protein_coding
UBQLN3	ubiquilin 3	protein_coding
CSF1R	colony stimulating factor 1 receptor	protein_coding
PRM1	protamine 1	protein_coding
XXbac-B444P24.8		antisense
XXbac-B33L19.3		antisense
ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta	protein_coding
FSCN1	fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)	protein_coding
NIPA1	non imprinted in Prader-Willi/Angelman syndrome 1	protein_coding
PLA2G4D	phospholipase A2, group IVD (cytosolic)	protein_coding
RP11-429J17.6		lincRNA
SH2D4B	SH2 domain containing 4B	protein_coding
OBFC1	oligonucleotide/oligosaccharide-binding fold containing 1	protein_coding
ATG7	ATG7 autophagy related 7 homolog (S. cerevisiae)	protein_coding
NXT2	nuclear transport factor 2-like export factor 2	protein_coding
MOBP	myelin-associated oligodendrocyte basic protein	protein_coding
HBM	hemoglobin, mu	protein_coding
LZTS1	leucine zipper, putative tumor suppressor 1	protein_coding
PLA2G4F	phospholipase A2, group IVF	protein_coding
SREK1	splicing regulatory glutamine/lysine-rich protein 1	protein_coding
UBQLNL	ubiquilin-like	protein_coding
PI4KAP1	phosphatidylinositol 4-kinase, catalytic, alpha pseudogene 1	pseudogene
RP11-513O17.2		processed_transcript
OR52H1	olfactory receptor, family 52, subfamily H, member 1	protein_coding
ZRSR1	zinc finger (CCCH type), RNA-binding motif and serine/arginine rich 1	protein_coding
OR52B6	olfactory receptor, family 52, subfamily B, member 6	protein_coding
NR2F2	nuclear receptor subfamily 2, group F, member 2	protein_coding
DCP2	DCP2 decapping enzyme homolog (S. cerevisiae)	protein_coding
LRP4	low density lipoprotein receptor-related protein 4	protein_coding
RBM25	RNA binding motif protein 25	protein_coding
MYLIP	myosin regulatory light chain interacting protein	protein_coding
GFRA2	GDNF family receptor alpha 2	protein_coding
KCNE1L	KCNE1-like	protein_coding
BRF2	BRF2, subunit of RNA polymerase III transcription initiation factor, BRF1-like	protein_coding
SPATA8	spermatogenesis associated 8	protein_coding
VKORC1L1	vitamin K epoxide reductase complex, subunit 1-like 1	protein_coding
AIFM1	apoptosis-inducing factor, mitochondrion-associated, 1	protein_coding
GOLGA8IP	golgin A8 family, member I, pseudogene	protein_coding
TRIM6	tripartite motif containing 6	protein_coding
BCKDK	branched chain ketoacid dehydrogenase kinase	protein_coding
ACSL4	acyl-CoA synthetase long-chain family member 4	protein_coding
ZNFX1-AS1	ZNFX1 antisense RNA 1 (non-protein coding)	lincRNA
PTPDC1	protein tyrosine phosphatase domain containing 1	protein_coding
ACSL6	acyl-CoA synthetase long-chain family member 6	protein_coding
RAB11FIP1	RAB11 family interacting protein 1 (class I)	protein_coding
CHCHD1	coiled-coil-helix-coiled-coil-helix domain containing 1	protein_coding
DOK2	docking protein 2, 56kDa	protein_coding
TDP2	tyrosyl-DNA phosphodiesterase 2	protein_coding
NANOG	Nanog homeobox	protein_coding
GS1-18A18.1		processed_transcript
NNT	nicotinamide nucleotide transhydrogenase	protein_coding
GUSB	glucuronidase, beta	protein_coding
ZBTB16	zinc finger and BTB domain containing 16	protein_coding
HBA2	hemoglobin, alpha 2	protein_coding
HBA2	hemoglobin, alpha 2	protein_coding
MKRN3	makorin ring finger protein 3	protein_coding
GOT1L1	glutamic-oxaloacetic transaminase 1-like 1	protein_coding
MAGEL2	MAGE-like 2	protein_coding
SLK	STE20-like kinase	protein_coding
TEX10	testis expressed 10	protein_coding
CAMSAP1	calmodulin regulated spectrin-associated protein 1	protein_coding
NDN	necdin homolog (mouse)	protein_coding
VPS39	vacuolar protein sorting 39 homolog (S. cerevisiae)	protein_coding
XPO7	exportin 7	protein_coding
GMPR	guanosine monophosphate reductase	protein_coding
ANXA2P2	annexin A2 pseudogene 2	pseudogene
FKBP9L	FK506 binding protein 9-like	pseudogene
KIAA0913	KIAA0913	protein_coding
PTENP1	phosphatase and tensin homolog pseudogene 1	pseudogene
NNMT	nicotinamide N-methyltransferase	protein_coding
PLEKHD1	pleckstrin homology domain containing, family D (with coiled-coil domains) member 1	protein_coding
RNF216	ring finger protein 216	protein_coding
C11orf49	chromosome 11 open reading frame 49	protein_coding
SLC10A6	solute carrier family 10 (sodium/bile acid cotransporter family), member 6	protein_coding
TMED10	transmembrane emp24-like trafficking protein 10 (yeast)	protein_coding
RP11-8P17.1		lincRNA
HNF1A	HNF1 homeobox A	protein_coding
ARRDC4	arrestin domain containing 4	protein_coding
SYCE1	synaptonemal complex central element protein 1	protein_coding
WEE1	WEE1 homolog (S. pombe)	protein_coding
RP11-290F20.1		lincRNA
RP11-421P23.1		lincRNA
ATXN1	ataxin 1	protein_coding
ADRB3	adrenergic, beta-3-, receptor	protein_coding
C15orf2	chromosome 15 open reading frame 2	protein_coding
RPUSD1	RNA pseudouridylate synthase domain containing 1	protein_coding
DOCK11	dedicator of cytokinesis 11	protein_coding
SNRPN	small nuclear ribonucleoprotein polypeptide N	protein_coding
SNRPN	small nuclear ribonucleoprotein polypeptide N	protein_coding
EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1	protein_coding
FHAD1	forkhead-associated (FHA) phosphopeptide binding domain 1	protein_coding
SLC2A13	solute carrier family 2 (facilitated glucose transporter), member 13	protein_coding
RP1-260J9.2		lincRNA
RP11-73M18.2	Apoptogenic protein 1, mitochondrial	protein_coding
SP8	Sp8 transcription factor	protein_coding
ASH2L	ash2 (absent, small, or homeotic)-like (Drosophila)	protein_coding
C4orf36	chromosome 4 open reading frame 36	protein_coding
C4orf36	chromosome 4 open reading frame 36	protein_coding
CENPQ	centromere protein Q	protein_coding
RP11-725C19.1		processed_transcript
ENPP6	ectonucleotide pyrophosphatase/phosphodiesterase 6	protein_coding
GLYATL3	glycine-N-acyltransferase-like 3	protein_coding
KIAA0247	KIAA0247	protein_coding
TMEM191A	transmembrane protein 191A	lincRNA
BHLHE40	basic helix-loop-helix family, member e40	protein_coding
SRD5A1P1	steroid-5-alpha-reductase, alpha polypeptide 1 pseudogene 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha pseudogene)	pseudogene
C10orf96	chromosome 10 open reading frame 96	protein_coding
FAM169B	family with sequence similarity 169, member B	protein_coding
C11orf71	chromosome 11 open reading frame 71	protein_coding
MYRIP	myosin VIIA and Rab interacting protein	protein_coding
LRRK2	leucine-rich repeat kinase 2	protein_coding
VENTXP1	VENT homeobox pseudogene 1	lincRNA
RBM7	RNA binding motif protein 7	protein_coding
SNURF	SNRPN upstream reading frame	protein_coding
SNURF	SNRPN upstream reading frame	protein_coding
SNURF	SNRPN upstream reading frame	protein_coding
SNURF	SNRPN upstream reading frame	protein_coding
PNLIPRP2	pancreatic lipase-related protein 2	polymorphic_pseudogene
IGF1R	insulin-like growth factor 1 receptor	protein_coding
TM2D3	TM2 domain containing 3	protein_coding
SP4	Sp4 transcription factor	protein_coding
LITAF	lipopolysaccharide-induced TNF factor	protein_coding
NRG3	neuregulin 3	protein_coding
GDE1	glycerophosphodiester phosphodiesterase 1	protein_coding
PDE6H	phosphodiesterase 6H, cGMP-specific, cone, gamma	protein_coding
LIMS3L	LIM and senescent cell antigen-like domains 3-like	protein_coding
LIMS3L	LIM and senescent cell antigen-like domains 3-like	protein_coding
RP11-829H16.3		antisense
PDGFRB	platelet-derived growth factor receptor, beta polypeptide	protein_coding
AC002472.8		pseudogene
PNLIPRP3	pancreatic lipase-related protein 3	protein_coding
P2RX6P	purinergic receptor P2X, ligand-gated ion channel, 6 pseudogene	pseudogene
STAR	steroidogenic acute regulatory protein	protein_coding
RP11-513O17.3		lincRNA
C8orf71	chromosome 8 open reading frame 71	lincRNA
BCRP2	breakpoint cluster region pseudogene 2	pseudogene
RGPD6	RANBP2-like and GRIP domain containing 6	protein_coding
RGPD6	RANBP2-like and GRIP domain containing 6	protein_coding
RGPD6	RANBP2-like and GRIP domain containing 6	protein_coding
C6orf141	chromosome 6 open reading frame 141	protein_coding
RERG	RAS-like, estrogen-regulated, growth inhibitor	protein_coding
SRSF5	serine/arginine-rich splicing factor 5	protein_coding
EPS8	epidermal growth factor receptor pathway substrate 8	protein_coding
ATF2	activating transcription factor 2	protein_coding
ACOT13	acyl-CoA thioesterase 13	protein_coding
UBE3A	ubiquitin protein ligase E3A	protein_coding
FRG2B	FSHD region gene 2 family, member B	protein_coding
TMEM87A	transmembrane protein 87A	protein_coding
ZNF169	zinc finger protein 169	protein_coding
IRF2	interferon regulatory factor 2	protein_coding
FOS	FBJ murine osteosarcoma viral oncogene homolog	protein_coding
KIF18A	kinesin family member 18A	protein_coding
SLC2A14	solute carrier family 2 (facilitated glucose transporter), member 14	protein_coding
C6orf62	chromosome 6 open reading frame 62	protein_coding
RP11-760D2.11		lincRNA
NPM2	nucleophosmin/nucleoplasmin 2	protein_coding
KCNH3	potassium voltage-gated channel, subfamily H (eag-related), member 3	protein_coding
IL3	interleukin 3 (colony-stimulating factor, multiple)	protein_coding
RHAG	Rh-associated glycoprotein	protein_coding
ZFAND3	zinc finger, AN1-type domain 3	protein_coding
REXO2	REX2, RNA exonuclease 2 homolog (S. cerevisiae)	protein_coding
RP3-486B10.1	uncharacterized protein LOC401236	protein_coding
DDX4	DEAD (Asp-Glu-Ala-Asp) box polypeptide 4	protein_coding
MLF1IP	MLF1 interacting protein	protein_coding
RP11-875O11.2		lincRNA
RBM24	RNA binding motif protein 24	protein_coding
DNAH11	dynein, axonemal, heavy chain 11	protein_coding
STK17A	serine/threonine kinase 17a	protein_coding
LSM1	LSM1 homolog, U6 small nuclear RNA associated (S. cerevisiae)	protein_coding
SCARNA9	small Cajal body-specific RNA 9	antisense
SCARNA9	small Cajal body-specific RNA 9	antisense
CUTA	cutA divalent cation tolerance homolog (E. coli)	protein_coding
ZNF860	zinc finger protein 860	protein_coding
AFF1	AF4/FMR2 family, member 1	protein_coding
UBAC1	UBA domain containing 1	protein_coding
STAG1	stromal antigen 1	protein_coding
ATP10A	ATPase, class V, type 10A	protein_coding
BAG4	BCL2-associated athanogene 4	protein_coding
FAM131A	family with sequence similarity 131, member A	protein_coding
ASL	argininosuccinate lyase	protein_coding
ADM	adrenomedullin	protein_coding
MAST4	microtubule associated serine/threonine kinase family member 4	protein_coding
HBA1	hemoglobin, alpha 1	protein_coding
HBA1	hemoglobin, alpha 1	protein_coding
FGF17	fibroblast growth factor 17	protein_coding
ARL8B	ADP-ribosylation factor-like 8B	protein_coding
GPD1L	glycerol-3-phosphate dehydrogenase 1-like	protein_coding
TMC5	transmembrane channel-like 5	protein_coding
FAM22F	family with sequence similarity 22, member F	protein_coding
DDHD2	DDHD domain containing 2	protein_coding
SH3GLB2	SH3-domain GRB2-like endophilin B2	protein_coding
TARSL2	threonyl-tRNA synthetase-like 2	protein_coding
ANAPC16	anaphase promoting complex subunit 16	protein_coding
ANKHD1-EIF4EBP3	ANKHD1-EIF4EBP3 readthrough	protein_coding
ANKHD1-EIF4EBP3	ANKHD1-EIF4EBP3 readthrough	protein_coding
EPB49	erythrocyte membrane protein band 4.9 (dematin)	protein_coding
SMEK3P	SMEK homolog 3, suppressor of mek1 (Dictyostelium) pseudogene	pseudogene
FGF10	fibroblast growth factor 10	protein_coding
RP13-580B18.1		pseudogene
MCRS1	microspherule protein 1	protein_coding
CLCN2	chloride channel, voltage-sensitive 2	protein_coding
TMEM164	transmembrane protein 164	protein_coding
IDI2-AS1	IDI2 antisense RNA 1 (non-protein coding)	antisense
CSF2	colony stimulating factor 2 (granulocyte-macrophage)	protein_coding
C12orf43	chromosome 12 open reading frame 43	protein_coding
FAM24B	family with sequence similarity 24, member B	protein_coding
MCC	mutated in colorectal cancers	protein_coding
C10orf82	chromosome 10 open reading frame 82	protein_coding
GMNN	geminin, DNA replication inhibitor	protein_coding
RP11-1149O23.3		processed_transcript
RP5-907D15.2		lincRNA
DDIT4	DNA-damage-inducible transcript 4	protein_coding
C7orf44	chromosome 7 open reading frame 44	protein_coding
CCP110	centriolar coiled coil protein 110kDa	protein_coding
PLEKHA8	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 8	protein_coding
RP11-177H13.2		processed_transcript
PNLIP	pancreatic lipase	protein_coding
MRPS30	mitochondrial ribosomal protein S30	protein_coding
GANC	glucosidase, alpha; neutral C	protein_coding
HIATL1	hippocampus abundant transcript-like 1	protein_coding
GHITM	growth hormone inducible transmembrane protein	protein_coding
DOLK	dolichol kinase	protein_coding
DNAJB12	DnaJ (Hsp40) homolog, subfamily B, member 12	protein_coding
METTL15	methyltransferase like 15	protein_coding
SWAP70	SWAP switching B-cell complex 70kDa subunit	protein_coding
RP11-296L22.4		antisense
RAPGEF5	Rap guanine nucleotide exchange factor (GEF) 5	protein_coding
HBQ1	hemoglobin, theta 1	protein_coding
TRIM34	tripartite motif containing 34	protein_coding
TRIM34	tripartite motif containing 34	protein_coding
NDST2	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2	protein_coding
FAM24A	family with sequence similarity 24, member A	protein_coding
EFHD2	EF-hand domain family, member D2	protein_coding
EIF1B	eukaryotic translation initiation factor 1B	protein_coding
GNAS-AS1	GNAS antisense RNA 1 (non-protein coding)	antisense
GABRB3	gamma-aminobutyric acid (GABA) A receptor, beta 3	protein_coding
C10orf88	chromosome 10 open reading frame 88	protein_coding
CTRC	chymotrypsin C (caldecrin)	protein_coding
NUP188	nucleoporin 188kDa	protein_coding
CDX1	caudal type homeobox 1	protein_coding
ATXN2L	ataxin 2-like	protein_coding
RP4-719C8.1		antisense
CHTF18	CTF18, chromosome transmission fidelity factor 18 homolog (S. cerevisiae)	protein_coding
COL17A1	collagen, type XVII, alpha 1	protein_coding
PGPEP1L	pyroglutamyl-peptidase I-like	protein_coding
LUC7L	LUC7-like (S. cerevisiae)	protein_coding
ATP8B5P	ATPase, class I, type 8B, member 5, pseudogene	pseudogene
HSPA12A	heat shock 70kDa protein 12A	protein_coding
AMMECR1	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1	protein_coding
CELA2A	chymotrypsin-like elastase family, member 2A	protein_coding
SMAD5	SMAD family member 5	protein_coding
SLC6A7	solute carrier family 6 (neurotransmitter transporter, L-proline), member 7	protein_coding
PPAPDC1B	phosphatidic acid phosphatase type 2 domain containing 1B	protein_coding
HCN1	hyperpolarization activated cyclic nucleotide-gated potassium channel 1	protein_coding
PRSS8	protease, serine, 8	protein_coding
P4HA2	prolyl 4-hydroxylase, alpha polypeptide II	protein_coding
CAP2	CAP, adenylate cyclase-associated protein, 2 (yeast)	protein_coding
ATP5G3	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C3 (subunit 9)	protein_coding
TH1L	TH1-like (Drosophila)	protein_coding
PSTK	phosphoseryl-tRNA kinase	protein_coding
ENTPD3	ectonucleoside triphosphate diphosphohydrolase 3	protein_coding
JDP2	Jun dimerization protein 2	protein_coding
SNN	stannin	protein_coding
CELA2B	chymotrypsin-like elastase family, member 2B	protein_coding
PTPRO	protein tyrosine phosphatase, receptor type, O	protein_coding
CAPN3	calpain 3, (p94)	protein_coding
CAMK2A	calcium/calmodulin-dependent protein kinase II alpha	protein_coding
TXNDC11	thioredoxin domain containing 11	protein_coding
RP11-566K8.2		non_coding
SYNM	synemin, intermediate filament protein	protein_coding
BTD	biotinidase	protein_coding
FAM65B	family with sequence similarity 65, member B	protein_coding
RP11-425I13.3		lincRNA
ENO4	enolase family member 4	protein_coding
CTA-282F2.3		processed_transcript
KIAA1715	KIAA1715	protein_coding
CMTM8	CKLF-like MARVEL transmembrane domain containing 8	protein_coding
EMB	embigin	protein_coding
BHLHE41	basic helix-loop-helix family, member e41	protein_coding
EIF4EBP3	eukaryotic translation initiation factor 4E binding protein 3	protein_coding
GABRA5	gamma-aminobutyric acid (GABA) A receptor, alpha 5	protein_coding
CCDC19	coiled-coil domain containing 19	protein_coding
AMPD3	adenosine monophosphate deaminase 3	protein_coding
RP11-69C17.1		lincRNA
HLA-G	major histocompatibility complex, class I, G	protein_coding
C7orf41	chromosome 7 open reading frame 41	protein_coding
ARFGAP2	ADP-ribosylation factor GTPase activating protein 2	protein_coding
NACC2	NACC family member 2, BEN and BTB (POZ) domain containing	protein_coding
MICU1	mitochondrial calcium uptake 1	protein_coding
KLF13	Kruppel-like factor 13	protein_coding
XRCC3	X-ray repair complementing defective repair in Chinese hamster cells 3	protein_coding
FBP2	fructose-1,6-bisphosphatase 2	protein_coding
BTBD9	BTB (POZ) domain containing 9	protein_coding
TAGLN2	transgelin 2	protein_coding
CRISP2	cysteine-rich secretory protein 2	protein_coding
OTUD7A	OTU domain containing 7A	protein_coding
IGSF9	immunoglobulin superfamily, member 9	protein_coding
FBP1	fructose-1,6-bisphosphatase 1	protein_coding
SSPN	sarcospan	protein_coding
GABRG3	gamma-aminobutyric acid (GABA) A receptor, gamma 3	protein_coding
CMTM7	CKLF-like MARVEL transmembrane domain containing 7	protein_coding
CASP9	caspase 9, apoptosis-related cysteine peptidase	protein_coding
RP13-507I23.1		lincRNA
EDEM1	ER degradation enhancer, mannosidase alpha-like 1	protein_coding
TMEFF1	transmembrane protein with EGF-like and two follistatin-like domains 1	protein_coding
PNLIPRP1	pancreatic lipase-related protein 1	protein_coding
SRA1	steroid receptor RNA activator 1	protein_coding
RPS21	ribosomal protein S21	protein_coding
CTSZ	cathepsin Z	protein_coding
TTC23	tetratricopeptide repeat domain 23	protein_coding
BATF	basic leucine zipper transcription factor, ATF-like	protein_coding
ENDOV	endonuclease V	protein_coding
ZNRF2	zinc and ring finger 2	protein_coding
RP11-311B18.1		lincRNA
PRSS36	protease, serine, 36	protein_coding
KCNA4	potassium voltage-gated channel, shaker-related subfamily, member 4	protein_coding
ENG	endoglin	protein_coding
FAM160B2	family with sequence similarity 160, member B2	protein_coding
C9orf69	chromosome 9 open reading frame 69	protein_coding
RP1-239B22.1	B7 homolog 6	protein_coding
C8orf58	chromosome 8 open reading frame 58	protein_coding
TIGD2	tigger transposable element derived 2	protein_coding
RP11-725K16.4		pseudogene
FSHB	follicle stimulating hormone, beta polypeptide	protein_coding
RP11-93B14.5		antisense
TRPC7	transient receptor potential cation channel, subfamily C, member 7	protein_coding
ACSL1	acyl-CoA synthetase long-chain family member 1	protein_coding
POLR2H	polymerase (RNA) II (DNA directed) polypeptide H	protein_coding
PSEN1	presenilin 1	protein_coding
CASP3	caspase 3, apoptosis-related cysteine peptidase	protein_coding
RGAG1	retrotransposon gag domain containing 1	protein_coding
CHRNA7	cholinergic receptor, nicotinic, alpha 7 (neuronal)	protein_coding
