Associated Gene Name	Description	Gene Biotype	NA
MAMDC4	MAM domain containing 4	protein_coding	158056
C1QTNF9	C1q and tumor necrosis factor related protein 9	protein_coding	338872
AC108142.1		lincRNA	NA
LRRC3	leucine rich repeat containing 3	protein_coding	81543
PARP4	poly (ADP-ribose) polymerase family, member 4	protein_coding	143
PCDHA12	protocadherin alpha 12	protein_coding	56137
RPPH1		antisense	85495
PRDM2	PR domain containing 2, with ZNF domain	protein_coding	7799
KLHL31	kelch-like 31 (Drosophila)	protein_coding	401265
RP11-140L24.4	proteasome subunit alpha type-1 isoform 3	protein_coding	NA
RPS15A	ribosomal protein S15a	protein_coding	6210
PDE3B	phosphodiesterase 3B, cGMP-inhibited	protein_coding	5140
SPN	sialophorin	protein_coding	6693
TSPEAR	thrombospondin-type laminin G domain and EAR repeats	protein_coding	54084
LRRC1	leucine rich repeat containing 1	protein_coding	55227
SPRYD5P	SPRY domain containing 5 pseudogene	pseudogene	NA
KRTAP10-1	keratin associated protein 10-1	protein_coding	386677
RP11-586D19.1		lincRNA	NA
MEG3	maternally expressed 3 (non-protein coding)	lincRNA	55384
KRTAP10-2	keratin associated protein 10-2	protein_coding	386679
KRTAP10-3	keratin associated protein 10-3	protein_coding	386682
KRTAP10-4	keratin associated protein 10-4	protein_coding	386672
KRTAP10-5	keratin associated protein 10-5	protein_coding	386680
KRTAP10-6	keratin associated protein 10-6	protein_coding	386674
PCDHA13	protocadherin alpha 13	protein_coding	56136
KRTAP10-7	keratin associated protein 10-7	protein_coding	386675
KRTAP10-8	keratin associated protein 10-8	protein_coding	386681
CHRNA1	cholinergic receptor, nicotinic, alpha 1 (muscle)	protein_coding	1134
KRTAP10-9	keratin associated protein 10-9	protein_coding	386676
DCTD	dCMP deaminase	protein_coding	1635
KRTAP10-10	keratin associated protein 10-10	protein_coding	353333
KRTAP10-11	keratin associated protein 10-11	protein_coding	386678
QPRT	quinolinate phosphoribosyltransferase	protein_coding	23475
KRTAP12-3	keratin associated protein 12-3	protein_coding	386683
KRTAP12-4	keratin associated protein 12-4	protein_coding	386684
KRTAP12-2	keratin associated protein 12-2	protein_coding	353323
KRTAP12-1	keratin associated protein 12-1	protein_coding	353332
ZEB1-AS1	ZEB1 antisense RNA 1 (non-protein coding)	antisense	220930
ATP12A	ATPase, H+/K+ transporting, nongastric, alpha polypeptide	protein_coding	479
FAM92A3	family with sequence similarity 92, member A3	pseudogene	NA
C5orf24	chromosome 5 open reading frame 24	protein_coding	134553
C16orf54	chromosome 16 open reading frame 54	protein_coding	283897
KAZN	kazrin, periplakin interacting protein	protein_coding	23254
DBX2	developing brain homeobox 2	protein_coding	440097
FAM78A	family with sequence similarity 78, member A	protein_coding	286336
AC093323.3		lincRNA	NA
PCDHAC1	protocadherin alpha subfamily C, 1	protein_coding	56135
CYP2R1	cytochrome P450, family 2, subfamily R, polypeptide 1	protein_coding	120227
KRTAP10-12	keratin associated protein 10-12	protein_coding	386685
UBE2G2	ubiquitin-conjugating enzyme E2G 2	protein_coding	7327
TRIM53P	tripartite motif containing 53, pseudogene	pseudogene	NA
PDCD6IP	programmed cell death 6 interacting protein	protein_coding	10015
NRIP3	nuclear receptor interacting protein 3	protein_coding	56675
RP11-367J11.2		lincRNA	NA
RP11-367J11.3		lincRNA	NA
CHN1	chimerin (chimaerin) 1	protein_coding	1123
MRPS25	mitochondrial ribosomal protein S25	protein_coding	64432
SUMO3	SMT3 suppressor of mif two 3 homolog 3 (S. cerevisiae)	protein_coding	6612
SLC27A6	solute carrier family 27 (fatty acid transporter), member 6	protein_coding	28965
PPAPDC3	phosphatidic acid phosphatase type 2 domain containing 3	protein_coding	84814
TXNDC15	thioredoxin domain containing 15	protein_coding	79770
RNF17	ring finger protein 17	protein_coding	56163
ANO6	anoctamin 6	protein_coding	196527
BCAT1	branched chain amino-acid transaminase 1, cytosolic	protein_coding	586
SCUBE2	signal peptide, CUB domain, EGF-like 2	protein_coding	57758
TMEM51	transmembrane protein 51	protein_coding	55092
PTTG1IP	pituitary tumor-transforming 1 interacting protein	protein_coding	754
PRRC2B	proline-rich coiled-coil 2B	protein_coding	84726
EDF1	endothelial differentiation-related factor 1	protein_coding	8721
RP11-367N14.2		antisense	NA
ISOC1	isochorismatase domain containing 1	protein_coding	51015
ZG16	zymogen granule protein 16 homolog (rat)	protein_coding	653808
ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	protein_coding	3689
EMP1	epithelial membrane protein 1	protein_coding	2012
MLIP	muscular LMNA-interacting protein	protein_coding	90523
ZDHHC12	zinc finger, DHHC-type containing 12	protein_coding	84885
SEC13	SEC13 homolog (S. cerevisiae)	protein_coding	6396
CALCB	calcitonin-related polypeptide beta	protein_coding	797
RP11-290F5.2		lincRNA	NA
CENPJ	centromere protein J	protein_coding	55835
UQCRC2	ubiquinol-cytochrome c reductase core protein II	protein_coding	7385
KIF22	kinesin family member 22	protein_coding	3835
ZFYVE20	zinc finger, FYVE domain containing 20	protein_coding	64145
RP11-84C10.2		lincRNA	NA
ARL6IP1	ADP-ribosylation factor-like 6 interacting protein 1	protein_coding	23204
PABPC3	poly(A) binding protein, cytoplasmic 3	protein_coding	5042
PCDHAC2	protocadherin alpha subfamily C, 2	protein_coding	56134
FAM123A	family with sequence similarity 123A	protein_coding	219287
ADARB1	adenosine deaminase, RNA-specific, B1	protein_coding	104
BTBD16	BTB (POZ) domain containing 16	protein_coding	118663
TRAF2	TNF receptor-associated factor 2	protein_coding	7186
ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif, 19	protein_coding	171019
CALCA	calcitonin-related polypeptide alpha	protein_coding	796
NUDCD3	NudC domain containing 3	protein_coding	23386
JAZF1	JAZF zinc finger 1	protein_coding	221895
MTMR6	myotubularin related protein 6	protein_coding	9107
PCBD2	pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1) 2	protein_coding	84105
RP11-701P16.1		pseudogene	NA
LMO2	LIM domain only 2 (rhombotin-like 1)	protein_coding	4005
MEG8	maternally expressed 8 (non-protein coding)	lincRNA	79104
USP17	ubiquitin specific peptidase 17	pseudogene	391627
NUPL1	nucleoporin like 1	protein_coding	9818
MEA1	male-enhanced antigen 1	protein_coding	4201
PCDHB1	protocadherin beta 1	protein_coding	29930
PLEKHA1	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1	protein_coding	59338
PCDHB2	protocadherin beta 2	protein_coding	56133
RP11-701P16.4		lincRNA	NA
PCDHB3	protocadherin beta 3	protein_coding	56132
PCDHB4	protocadherin beta 4	protein_coding	56131
ATP8A2	ATPase, aminophospholipid transporter, class I, type 8A, member 2	protein_coding	51761
PCDHB5	protocadherin beta 5	protein_coding	26167
USP17L6P	ubiquitin specific peptidase 17-like 6, pseudogene	pseudogene	391622
CATSPER3	cation channel, sperm associated 3	protein_coding	347732
PCDHB6	protocadherin beta 6	protein_coding	56130
INSC	inscuteable homolog (Drosophila)	protein_coding	387755
WWC2	WW and C2 domain containing 2	protein_coding	80014
WWC2	WW and C2 domain containing 2	protein_coding	80014
CAPRIN1	cell cycle associated protein 1	protein_coding	4076
POFUT2	protein O-fucosyltransferase 2	protein_coding	23275
KLHDC3	kelch domain containing 3	protein_coding	116138
C12orf77	chromosome 12 open reading frame 77	protein_coding	196415
CTD-2552B11.4		lincRNA	NA
GRIN2B	glutamate receptor, ionotropic, N-methyl D-aspartate 2B	protein_coding	2904
COL18A1	collagen, type XVIII, alpha 1	protein_coding	80781
PCDHB7	protocadherin beta 7	protein_coding	56129
ZER1	zer-1 homolog (C. elegans)	protein_coding	10444
NPC1L1	NPC1 (Niemann-Pick disease, type C1, gene)-like 1	protein_coding	29881
CREB5	cAMP responsive element binding protein 5	protein_coding	9586
PITX1	paired-like homeodomain 1	protein_coding	5307
ANKK1	ankyrin repeat and kinase domain containing 1	protein_coding	255239
ABLIM1	actin binding LIM protein 1	protein_coding	3983
SHISA2	shisa homolog 2 (Xenopus laevis)	protein_coding	387914
DYNLL1	dynein, light chain, LC8-type 1	protein_coding	8655
RNF6	ring finger protein (C3H2C3 type) 6	protein_coding	6049
AC005027.4		antisense	NA
CDK8	cyclin-dependent kinase 8	protein_coding	1024
ANAPC13	anaphase promoting complex subunit 13	protein_coding	25847
LRMP	lymphoid-restricted membrane protein	protein_coding	4033
DRD2	dopamine receptor D2	protein_coding	1813
WASF3	WAS protein family, member 3	protein_coding	10810
RER1	RER1 retention in endoplasmic reticulum 1 homolog (S. cerevisiae)	protein_coding	11079
SLC19A1	solute carrier family 19 (folate transporter), member 1	protein_coding	6573
RP11-77I22.3		processed_transcript	NA
FGD2	FYVE, RhoGEF and PH domain containing 2	protein_coding	221472
SAMD7	sterile alpha motif domain containing 7	protein_coding	344658
GPR12	G protein-coupled receptor 12	protein_coding	2835
PDZD9	PDZ domain containing 9	protein_coding	255762
USP12	ubiquitin specific peptidase 12	protein_coding	219333
ARHGAP32	Rho GTPase activating protein 32	protein_coding	9743
PCBP3	poly(rC) binding protein 3	protein_coding	54039
CAPN7	calpain 7	protein_coding	23473
SMG1	smg-1 homolog, phosphatidylinositol 3-kinase-related kinase (C. elegans)	protein_coding	23049
C16orf52	chromosome 16 open reading frame 52	protein_coding	730094
RRP36	ribosomal RNA processing 36 homolog (S. cerevisiae)	protein_coding	88745
RPL21	ribosomal protein L21	protein_coding	6144
RPL21	ribosomal protein L21	protein_coding	6144
RPL21	ribosomal protein L21	protein_coding	6144
POMT1	protein-O-mannosyltransferase 1	protein_coding	10585
RASL11A	RAS-like, family 11, member A	protein_coding	387496
GTF3A	general transcription factor IIIA	protein_coding	2971
CHSY3	chondroitin sulfate synthase 3	protein_coding	337876
COL6A1	collagen, type VI, alpha 1	protein_coding	1291
ATF7IP	activating transcription factor 7 interacting protein	protein_coding	55729
EPHB6	EPH receptor B6	protein_coding	2051
CACNB4	calcium channel, voltage-dependent, beta 4 subunit	protein_coding	785
MTIF3	mitochondrial translational initiation factor 3	protein_coding	219402
TAS2R10	taste receptor, type 2, member 10	protein_coding	50839
TAS2R13	taste receptor, type 2, member 13	protein_coding	50838
H2AFY	H2A histone family, member Y	protein_coding	9555
PRH2	proline-rich protein HaeIII subfamily 2	protein_coding	5555
PRH2	proline-rich protein HaeIII subfamily 2	protein_coding	5555
LNX2	ligand of numb-protein X 2	protein_coding	222484
TAS2R14	taste receptor, type 2, member 14	protein_coding	50840
POLR1D	polymerase (RNA) I polypeptide D, 16kDa	protein_coding	51082
RP11-551L14.5		lincRNA	NA
TAS2R50	taste receptor, type 2, member 50	protein_coding	259296
TAS2R20	taste receptor, type 2, member 20	protein_coding	259295
COL6A2	collagen, type VI, alpha 2	protein_coding	1292
SEC62	SEC62 homolog (S. cerevisiae)	protein_coding	7095
TAS2R19	taste receptor, type 2, member 19	protein_coding	259294
TAS2R31	taste receptor, type 2, member 31	protein_coding	259290
TAS2R46	taste receptor, type 2, member 46	protein_coding	259292
PEX10	peroxisomal biogenesis factor 10	protein_coding	5192
TAS2R30	taste receptor, type 2, member 30	protein_coding	259293
ARMS2	age-related maculopathy susceptibility 2	protein_coding	387715
GSX1	GS homeobox 1	protein_coding	219409
PDX1	pancreatic and duodenal homeobox 1	protein_coding	3651
HTRA1	HtrA serine peptidase 1	protein_coding	5654
CDX2	caudal type homeobox 2	protein_coding	1045
PRHOXNB	parahox cluster neighbor	protein_coding	646625
FLT3	fms-related tyrosine kinase 3	protein_coding	2322
RP11-785H5.1		pseudogene	NA
PLCH2	phospholipase C, eta 2	protein_coding	9651
TRPV6	transient receptor potential cation channel, subfamily V, member 6	protein_coding	55503
CUL7	cullin 7	protein_coding	9820
FTCD	formiminotransferase cyclodeaminase	protein_coding	10841
GPR160	G protein-coupled receptor 160	protein_coding	26996
VWA3A	von Willebrand factor A domain containing 3A	protein_coding	146177
PAN3	PAN3 poly(A) specific ribonuclease subunit homolog (S. cerevisiae)	protein_coding	255967
STAM2	signal transducing adaptor molecule (SH3 domain and ITAM motif) 2	protein_coding	10254
OBP2B	odorant binding protein 2B	protein_coding	29989
ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	protein_coding	28
FLT1	fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	protein_coding	2321
SURF6	surfeit 6	protein_coding	6838
TRPV5	transient receptor potential cation channel, subfamily V, member 5	protein_coding	56302
BARX2	BARX homeobox 2	protein_coding	8538
SOX6	SRY (sex determining region Y)-box 6	protein_coding	55553
MED22	mediator complex subunit 22	protein_coding	6837
C7orf34	chromosome 7 open reading frame 34	protein_coding	135927
C21orf56	chromosome 21 open reading frame 56	protein_coding	84221
LSS	lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)	protein_coding	4047
KEL	Kell blood group, metallo-endopeptidase	protein_coding	3792
RPL7A	ribosomal protein L7a	protein_coding	6130
RPL7A	ribosomal protein L7a	protein_coding	6130
RPL7A	ribosomal protein L7a	protein_coding	6130
RPL7A	ribosomal protein L7a	protein_coding	6130
POMP	proteasome maturation protein	protein_coding	51371
SLC46A3	solute carrier family 46, member 3	protein_coding	283537
OR9A2	olfactory receptor, family 9, subfamily A, member 2	protein_coding	135924
OR6V1	olfactory receptor, family 6, subfamily V, member 1	protein_coding	346517
XX-CR54.3	uncharacterized protein UNQ511/PRO1026 preproprotein	protein_coding	NA
MTUS2	microtubule associated tumor suppressor candidate 2	protein_coding	23281
HINT1	histidine triad nucleotide binding protein 1	protein_coding	3094
MCM3AP	minichromosome maintenance complex component 3 associated protein	protein_coding	8888
U66059.29		pseudogene	NA
DENND5A	DENN/MADD domain containing 5A	protein_coding	23258
PECAM1	platelet/endothelial cell adhesion molecule 1	protein_coding	5175
FOPNL	FGFR1OP N-terminal like	protein_coding	123811
OR5P3	olfactory receptor, family 5, subfamily P, member 3	protein_coding	120066
SLC7A1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	protein_coding	6541
ZNF608	zinc finger protein 608	protein_coding	57507
UBL3	ubiquitin-like 3	protein_coding	5412
SURF1	surfeit 1	protein_coding	6834
TBC1D13	TBC1 domain family, member 13	protein_coding	54662
OR10A6	olfactory receptor, family 10, subfamily A, member 6	protein_coding	390093
KATNAL1	katanin p60 subunit A-like 1	protein_coding	84056
TEKT4	tektin 4	protein_coding	150483
AADAT	aminoadipate aminotransferase	protein_coding	51166
RP11-407P15.1		pseudogene	NA
YBEY	ybeY metallopeptidase (putative)	protein_coding	54059
RP11-453F18__B.1		processed_transcript	NA
LYRM7	Lyrm7 homolog (mouse)	protein_coding	90624
SURF2	surfeit 2	protein_coding	6835
OR10A3	olfactory receptor, family 10, subfamily A, member 3	protein_coding	26496
HMGB1	high mobility group box 1	protein_coding	3146
NLRP10	NLR family, pyrin domain containing 10	protein_coding	338322
ANKRD20A8P	ankyrin repeat domain 20 family, member A8, pseudogene	pseudogene	729171
EIF3F	eukaryotic translation initiation factor 3, subunit F	protein_coding	8665
ATP2B2	ATPase, Ca++ transporting, plasma membrane 2	protein_coding	491
OR6W1P	olfactory receptor, family 6, subfamily W, member 1 pseudogene	pseudogene	89883
SURF4	surfeit 4	protein_coding	6836
C21orf58	chromosome 21 open reading frame 58	protein_coding	54058
CPVL	carboxypeptidase, vitellogenic-like	protein_coding	54504
ZNF707	zinc finger protein 707	protein_coding	286075
USPL1	ubiquitin specific peptidase like 1	protein_coding	10208
ALOX5AP	arachidonate 5-lipoxygenase-activating protein	protein_coding	241
C13orf33	chromosome 13 open reading frame 33	protein_coding	84935
PCNT	pericentrin	protein_coding	5116
DIO3OS	DIO3 opposite strand/antisense RNA (non-protein coding)	lincRNA	64150
C9orf96	chromosome 9 open reading frame 96	protein_coding	169436
CDC42SE2	CDC42 small effector 2	protein_coding	56990
REXO4	REX4, RNA exonuclease 4 homolog (S. cerevisiae)	protein_coding	57109
SH3BP5	SH3-domain binding protein 5 (BTK-associated)	protein_coding	9467
HSPH1	heat shock 105kDa/110kDa protein 1	protein_coding	10808
CLDN22	claudin 22	protein_coding	53842
PIM1	pim-1 oncogene	protein_coding	5292
CCDC166	coiled-coil domain containing 166	protein_coding	100130274
MAPK15	mitogen-activated protein kinase 15	protein_coding	225689
CLDN24	claudin 24	protein_coding	100132463
ENDOG	endonuclease G	protein_coding	2021
CDKN2AIP	CDKN2A interacting protein	protein_coding	55602
C9orf114	chromosome 9 open reading frame 114	protein_coding	51490
DIP2A	DIP2 disco-interacting protein 2 homolog A (Drosophila)	protein_coding	23181
KLC4	kinesin light chain 4	protein_coding	89953
FAM83H	family with sequence similarity 83, member H	protein_coding	286077
SCRIB	scribbled homolog (Drosophila)	protein_coding	23513
RAPGEF6	Rap guanine nucleotide exchange factor (GEF) 6	protein_coding	51735
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif, 13	protein_coding	11093
CASC1	cancer susceptibility candidate 1	protein_coding	55259
B3GALTL	beta 1,3-galactosyltransferase-like	protein_coding	145173
RXFP2	relaxin/insulin-like family peptide receptor 2	protein_coding	122042
CCDC138	coiled-coil domain containing 138	protein_coding	165055
PUF60	poly-U binding splicing factor 60KDa	protein_coding	22827
AC004383.4		lincRNA	NA
FRY	furry homolog (Drosophila)	protein_coding	10129
ING2	inhibitor of growth family, member 2	protein_coding	3622
RP11-66N24.4		processed_transcript	NA
CEP63	centrosomal protein 63kDa	protein_coding	80254
AC004383.5		lincRNA	NA
PLBD1	phospholipase B domain containing 1	protein_coding	79887
DOCK3	dedicator of cytokinesis 3	protein_coding	1795
STYK1	serine/threonine/tyrosine kinase 1	protein_coding	55359
DMBT1	deleted in malignant brain tumors 1	protein_coding	1755
TMEM217	transmembrane protein 217	protein_coding	221468
LPHN3	latrophilin-3 precursor	protein_coding	23284
ARL4A	ADP-ribosylation factor-like 4A	protein_coding	10124
S100B	S100 calcium binding protein B	protein_coding	6285
AC011738.4		antisense	NA
RWDD4	RWD domain containing 4	protein_coding	201965
COQ5	coenzyme Q5 homolog, methyltransferase (S. cerevisiae)	protein_coding	84274
PRMT2	protein arginine methyltransferase 2	protein_coding	3275
ABCC1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	protein_coding	4363
TMEM41B	transmembrane protein 41B	protein_coding	440026
POLR2J4	polymerase (RNA) II (DNA directed) polypeptide J4, pseudogene	pseudogene	84820
TMPRSS5	transmembrane protease, serine 5	protein_coding	80975
MANF	mesencephalic astrocyte-derived neurotrophic factor	protein_coding	7873
TBC1D22B	TBC1 domain family, member 22B	protein_coding	55633
ZAR1L	zygote arrest 1-like	protein_coding	646799
BRCA2	breast cancer 2, early onset	protein_coding	675
RBM15B	RNA binding motif protein 15B	protein_coding	29890
C14orf165	chromosome 14 open reading frame 165	processed_transcript	NA
C14orf167	chromosome 14 open reading frame 167	processed_transcript	NA
VPRBP	Vpr (HIV-1) binding protein	protein_coding	9730
RP11-341G5.3		processed_transcript	NA
EDAR	ectodysplasin A receptor	protein_coding	10913
RP11-736N17.2		lincRNA	NA
CCBL1	cysteine conjugate-beta lyase, cytoplasmic	protein_coding	883
N4BP2L1	NEDD4 binding protein 2-like 1	protein_coding	90634
EEF2K	eukaryotic elongation factor-2 kinase	protein_coding	29904
SLC2A6	solute carrier family 2 (facilitated glucose transporter), member 6	protein_coding	11182
CSDA	cold shock domain protein A	protein_coding	8531
C11orf58	chromosome 11 open reading frame 58	protein_coding	10944
MAFIPL		pseudogene	NA
MAFIPL		pseudogene	NA
MAFIPL		pseudogene	NA
NRBP2	nuclear receptor binding protein 2	protein_coding	340371
RNF10	ring finger protein 10	protein_coding	9921
TWIST1	twist homolog 1 (Drosophila)	protein_coding	7291
N4BP2L2	NEDD4 binding protein 2-like 2	protein_coding	10443
PHC3	polyhomeotic homolog 3 (Drosophila)	protein_coding	80012
ETV1	ets variant 1	protein_coding	2115
RAD54L2	RAD54-like 2 (S. cerevisiae)	protein_coding	23132
GUCY2C	guanylate cyclase 2C (heat stable enterotoxin receptor)	protein_coding	2984
MRPS36	28S ribosomal protein S36, mitochondrial	protein_coding	92259
CDK7	cyclin-dependent kinase 7	protein_coding	1022
TMEM45B	transmembrane protein 45B	protein_coding	120224
CHN2	chimerin (chimaerin) 2	protein_coding	1124
PDS5B	PDS5, regulator of cohesion maintenance, homolog B (S. cerevisiae)	protein_coding	23047
GRAMD3	GRAM domain containing 3	protein_coding	65983
EPPK1	epiplakin 1	protein_coding	83481
ZNF676	zinc finger protein 676	protein_coding	163223
NFRKB	nuclear factor related to kappaB binding protein	protein_coding	4798
RP11-85L21.3		processed_transcript	NA
CXADRP1	coxsackie virus and adenovirus receptor pseudogene 1	pseudogene	653108
PLEC	plectin	protein_coding	5339
POLR3E	polymerase (RNA) III (DNA directed) polypeptide E (80kD)	protein_coding	55718
FAM160B1	family with sequence similarity 160, member B1	protein_coding	57700
CYP4F29P	cytochrome P450, family 4, subfamily F, polypeptide 29, pseudogene	pseudogene	54055
TUB	tubby homolog (mouse)	protein_coding	7275
IPO7	importin 7	protein_coding	10527
GALNTL6	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 6	protein_coding	442117
KL	klotho	protein_coding	9365
FERD3L	Fer3-like (Drosophila)	protein_coding	222894
TWISTNB	TWIST neighbor	protein_coding	221830
AC006296.3		lincRNA	NA
STARD13	StAR-related lipid transfer (START) domain containing 13	protein_coding	90627
C5orf20	chromosome 5 open reading frame 20	protein_coding	140947
MAPK14	mitogen-activated protein kinase 14	protein_coding	1432
RNF8	ring finger protein 8, E3 ubiquitin protein ligase	protein_coding	9025
METTL6	methyltransferase like 6	protein_coding	131965
TIFAB	TRAF-interacting protein with forkhead-associated domain, family member B	protein_coding	497189
CCDC125	coiled-coil domain-containing protein 125	protein_coding	202243
NEUROG1	neurogenin 1	protein_coding	4762
ABCC13	ATP-binding cassette, sub-family C (CFTR/MRP), member 13, pseudogene	pseudogene	150000
CXCL14	chemokine (C-X-C motif) ligand 14	protein_coding	9547
RP3-377O6.1		pseudogene	NA
RIC3	resistance to inhibitors of cholinesterase 3 homolog (C. elegans)	protein_coding	79608
KIR2DL5B	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 5B	protein_coding	553128
KIR2DL5B	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 5B	protein_coding	553128
KIR2DL5B	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 5B	protein_coding	553128
KIR2DL5B	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 5B	protein_coding	553128
KIR2DL5B	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 5B	protein_coding	553128
KIR2DL5B	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 5B	protein_coding	553128
RFC3	replication factor C (activator 1) 3, 38kDa	protein_coding	5983
RP11-477I4.3		lincRNA	NA
TMEM121	transmembrane protein 121	protein_coding	80757
PLEKHA7	pleckstrin homology domain containing, family A member 7	protein_coding	144100
GALNT7	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)	protein_coding	51809
NBEA	neurobeachin	protein_coding	26960
HEATR7A	HEAT repeat containing 7A	protein_coding	727957
SLC25A48	solute carrier family 25, member 48	protein_coding	153328
IL17RC	interleukin 17 receptor C	protein_coding	84818
TAF9	adenylate kinase isoenzyme 6 isoform b	protein_coding	6880
RP11-783N5.1		antisense	NA
BOP1	block of proliferation 1	protein_coding	23246
EAF1	ELL associated factor 1	protein_coding	85403
HERC2	E3 ubiquitin-protein ligase HERC2	protein_coding	8924
MRPL2	mitochondrial ribosomal protein L2	protein_coding	51069
IL9	interleukin 9	protein_coding	3578
RAD17	RAD17 homolog (S. pombe)	protein_coding	5884
COLQ	collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase	protein_coding	8292
TAS2R7	taste receptor, type 2, member 7	protein_coding	50837
TAS2R8	taste receptor, type 2, member 8	protein_coding	50836
TAS2R9	taste receptor, type 2, member 9	protein_coding	50835
PRR4	proline rich 4 (lacrimal)	protein_coding	11272
PRR4	proline rich 4 (lacrimal)	protein_coding	11272
LECT2	leukocyte cell-derived chemotaxin 2	protein_coding	3950
GLE1	GLE1 RNA export mediator homolog (yeast)	protein_coding	2733
HSF1	heat shock transcription factor 1	protein_coding	3297
AP000459.4		lincRNA	NA
LYRM5	LYR motif containing 5	protein_coding	144363
HMGB2	high mobility group box 2	protein_coding	3148
AC017116.8		lincRNA	NA
GOLGA8G	Putative golgin subfamily A member 8F/8G	protein_coding	283768
SH3RF3	SH3 domain containing ring finger 3	protein_coding	344558
LMO1	LIM domain only 1 (rhombotin 1)	protein_coding	4004
EPHB1	EPH receptor B1	protein_coding	2047
PARP10	poly (ADP-ribose) polymerase family, member 10	protein_coding	84875
MIR155HG	MIR155 host gene (non-protein coding)	non_coding	114614
MIR155HG	MIR155 host gene (non-protein coding)	non_coding	114614
MAB21L1	mab-21-like 1 (C. elegans)	protein_coding	4081
DCLK1	doublecortin-like kinase 1	protein_coding	9201
ALDH7A1	aldehyde dehydrogenase 7 family, member A1	protein_coding	501
SEPT10	septin 10	protein_coding	151011
ZW10	ZW10, kinetochore associated, homolog (Drosophila)	protein_coding	9183
RP11-578F21.1		pseudogene	NA
SEPT7P2	septin 7 pseudogene 2	pseudogene	641977
SOHLH2	spermatogenesis and oogenesis specific basic helix-loop-helix 2	protein_coding	54937
DGAT1	diacylglycerol O-acyltransferase 1	protein_coding	8694
CLDN25	claudin 25	protein_coding	644672
BACH1-IT1	BACH1 intronic transcript 1 (non-protein coding)	sense_intronic	NA
USP28	ubiquitin specific peptidase 28	protein_coding	57646
GRIK1-AS1	GRIK1 antisense RNA 1 (non-protein coding)	antisense	642976
OCLN		protein_coding	100506658
GTF2H2	general transcription factor IIH subunit 2	protein_coding	2966
KY	kyphoscoliosis peptidase	protein_coding	339855
SAP30	Sin3A-associated protein, 30kDa	protein_coding	8819
MAPK13	mitogen-activated protein kinase 13	protein_coding	5603
SPG20	spastic paraplegia 20 (Troyer syndrome)	protein_coding	23111
GRINA	glutamate receptor, ionotropic, N-methyl D-aspartate-associated protein 1 (glutamate binding)	protein_coding	2907
RGPD5	RANBP2-like and GRIP domain containing 5	protein_coding	84220
RGPD5	RANBP2-like and GRIP domain containing 5	protein_coding	84220
RGPD5	RANBP2-like and GRIP domain containing 5	protein_coding	84220
RGPD5	RANBP2-like and GRIP domain containing 5	protein_coding	84220
RGPD5	RANBP2-like and GRIP domain containing 5	protein_coding	84220
SCRT1	scratch homolog 1, zinc finger protein (Drosophila)	protein_coding	83482
SPATC1	spermatogenesis and centriole associated 1	protein_coding	375686
STK33	serine/threonine kinase 33	protein_coding	65975
GCFC1-AS1	GCFC1 antisense RNA 1 (non-protein coding)	lincRNA	100506215
GS1-393G12.10	putative transmembrane protein C8orfK29 isoform 1	protein_coding	NA
AP000295.7		lincRNA	NA
EXOSC4	exosome component 4	protein_coding	54512
POP5	processing of precursor 5, ribonuclease P/MRP subunit (S. cerevisiae)	protein_coding	51367
GPAA1	glycosylphosphatidylinositol anchor attachment protein 1 homolog (yeast)	protein_coding	8733
C8A	complement component 8, alpha polypeptide	protein_coding	731
CCNA1	cyclin A1	protein_coding	8900
PPP2R3A	protein phosphatase 2, regulatory subunit B'', alpha	protein_coding	5523
C8B	complement component 8, beta polypeptide	protein_coding	732
SCRG1	stimulator of chondrogenesis 1	protein_coding	11341
AP000569.8		lincRNA	NA
AP000330.8		antisense	NA
RFXAP	regulatory factor X-associated protein	protein_coding	5994
DGKB	diacylglycerol kinase, beta 90kDa	protein_coding	1607
SMAD9	SMAD family member 9	protein_coding	4093
